gene_id	C1	C2
1	9	5
10	0	0
100	3	37
1000	5	8
10000	94	76
10001	70	73
10002	0	0
10003	1	8
100037417	11	0
10004	8	1
100049587	0	2
10005	31	5
10006	352	430
10007	73	30
10008	2	0
10009	111	105
1001	243	345
10010	167	204
100101267	273	455
100101467	36	13
100101629	0	0
10011	84	35
100113407	26	8
100125288	4	0
100127983	5	16
100128071	7	0
100128108	0	4
100128242	0	0
100128327	0	0
100128553	3	169
100128569	3	2
100128731	156	52
100128908	0	0
100128927	61	2
100129083	0	1
100129216	0	1
100129250	13	9
100129271	753	1078
100129307	0	0
100129361	26	0
100129396	0	6
100129480	3	2
100129484	12	1
100129520	0	0
100129543	1	4
100129583	0	1
100129654	0	0
100129697	0	2
100129792	8	7
100129836	0	2
100129842	28	76
100129924	5	0
100129940	0	1
10013	148	98
100130311	35	29
100130348	0	1
100130357	0	2
100130361	0	0
100130370	0	0
100130449	6	0
100130451	1	0
100130519	0	0
100130520	1	0
100130705	9	0
100130733	8	8
100130742	4	0
100130771	0	0
100130827	0	0
100130890	1	1
100130933	0	0
100130958	5	0
100130967	2	1
100131017	138	2
100131094	1	3
100131107	2	3
100131187	77	44
100131211	19	16
100131244	0	0
100131378	1	1
100131390	0	0
100131539	1	2
100131755	42	40
100131801	85	193
100131827	11	35
100131897	3	4
100131980	0	0
100132015	0	0
100132074	17	2
100132247	118	2650
100132386	153	333
100132406	221	8981
100132463	0	2
100132476	138	158
100132813	1	0
100132911	8	6
100132994	0	0
100133093	28	0
100133204	2	0
100133220	7	206
100133251	0	0
100133941	497	146
100134444	36	35
100134934	51	19
100134938	121	464
100137047	81	17
100137049	106	27
10014	480	261
100141515	0	1
100142659	30	127
100144595	1	0
100144748	4	0
10015	583	536
10016	144	129
10017	10	2
100170229	0	9
100170765	0	0
100170841	22	0
10018	63	12
100188893	156	47
10019	77	21
100191040	8	0
1002	1	0
10020	90	120
10021	0	0
10023	25	0
10024	26	15
10025	132	55
10026	59	72
100271715	0	1
100271849	7	0
100271927	44	219
100272147	31	4
100287036	0	0
100287045	1	18
100287171	438	1392
100287226	0	0
100287238	0	2
100287482	1	0
100287513	0	3
100287896	9	8
100287932	108	192
100288142	70	2005
100288332	60	788
100288413	7	6
100288520	0	14
100288687	0	18
100288695	3	3
100289187	3	4
100289561	24	48
100289635	38	27
100289678	46	38
100293516	24	47
100293534	0	0
1003	227	171
100302652	7	30
100302736	0	5
100303755	21	13
100310812	0	0
100310846	0	3
100316904	4	0
100329135	0	0
10036	82	87
10038	62	82
100381270	63	139
10039	41	28
1004	19	16
10040	116	185
10042	99	64
100423062	2	12
10043	304	178
10044	42	19
10045	86	26
10046	12	29
100463289	0	0
10048	236	334
10049	521	527
100499483	23	32
1005	0	0
100505385	20	0
100505478	0	2
100505549	2	0
100505573	52	0
100505591	1	0
100505679	0	5
100505724	18	76
100505741	0	1
100505753	796	1123
100505767	8	26
100505876	59	27
100505993	0	0
100506012	0	1
100506013	3	0
100506084	29	68
100506115	4	0
100506127	13	1
100506144	15	4
100506164	5	2
100506243	12	6
100506374	1	0
100506388	4	1
100506540	1	0
100506564	0	0
100506581	3	1
100506658	79	353
100506736	0	1
100506742	0	1
100506888	0	2
100507003	0	0
100507050	1	0
100507170	0	0
100507203	0	1
100507290	77	11
100507341	0	2
100507421	35	2
100507436	39	38
100507462	0	0
100507507	2	0
100507588	3	0
100507607	12	72
100507608	4	29
100507650	0	0
100507679	1	0
10051	143	185
10052	25	4
100526664	56	185
100526693	68	18
100526694	6	5
100526737	18	0
100526739	4	0
100526740	0	36
100526760	5	31
100526761	0	0
100526771	0	0
100526772	0	34
100526783	89	118
100526794	0	0
100526832	11	0
100526835	3	18
100526842	6	20
100527943	0	2
100527949	30	17
100527963	3	0
100527978	0	10
100528020	0	1
100528030	0	0
100528032	1	0
100528062	36	0
100528064	5	0
100529063	103	146
100529097	220	132
100529144	0	37
100529215	3	0
100529239	8	0
100529240	5	7
100529241	0	0
100529251	0	0
100529257	0	0
100529261	14	35
10053	154	80
100532726	28	0
100532731	29	0
100532736	0	0
100533105	0	0
100533106	10	0
100533177	87	72
100533181	0	2
100533183	0	0
100533467	13	117
100533496	32	15
100533952	0	0
100533997	0	0
100534012	0	0
100534599	136	16
10054	308	336
10055	216	117
10056	117	97
10057	94	123
10058	79	74
10059	196	264
1006	5	4
10060	121	182
10061	185	182
10062	31	14
10063	42	36
100631383	20	3
100652748	41	71
100652824	1	0
100653515	0	4
10066	333	117
10067	156	84
10068	12	5
10069	24	17
1007	0	0
10071	0	16
10072	109	67
10073	33	35
10075	915	3300
10076	162	118
10077	0	0
10078	116	9
10079	250	255
1008	0	0
10081	75	50
10082	56	38
100820829	92	143
10083	0	0
10084	98	149
10085	45	73
10086	0	0
100861412	0	0
100862671	48	4
10087	134	162
100873985	1	4
100885848	3	0
100885850	0	3
10089	120	14
1009	142	201
10090	88	46
10092	303	90
10093	345	148
10094	328	887
10095	152	56
10096	526	601
10097	557	634
10098	167	68
10099	301	199
100996259	1	0
100996485	9	0
100996492	10	0
100996648	0	0
100996741	13	3
100996746	3	30
100996758	1	1
100996842	24	0
100996928	65	0
101	10	3
1010	12	6
10100	21	18
10101	149	25
10102	78	24
10103	8	8
10105	236	161
101059915	0	0
101059918	0	22
101059953	139	934
10106	825	318
101060200	0	6
101060211	0	0
101060226	403	7163
101060233	0	2
101060351	0	0
101060376	87	397
101060389	0	0
101060684	7	126
10107	22	4
10109	893	718
10110	23	6
10111	166	343
10112	22	13
10113	144	86
10114	482	846
10116	378	237
1012	249	284
10120	172	103
10121	457	307
10123	423	73
10124	107	48
10125	36	61
10126	50	4
10127	137	39
