gene_id	C1	C2	T1	T2	T3
1	1.79	0.77	7.59	7.69	11.50
10	0	0	0	0	0.33
100	0.73	6.47	151.28	157.49	141.87
1000	0.45	0.49	12.23	10.84	11.08
10000	5.60	11.46	6.32	7.43	6.67
10001	10.22	10.32	12.77	13.82	13.99
10002	0	0	0.67	0.61	0.21
10003	0.11	0.69	0.64	1.30	1.10
100037417	2.51	0	4.69	3.50	2.02
10004	1.03	0.10	0.37	0.45	0.63
100049587	0	0.35	1.74	0.95	2.09
10005	9.32	1.39	19.30	24.88	17.80
10006	33.91	31.90	14.89	12.79	13.05
10007	11.00	3.51	27.00	37.38	31.13
10008	0.23	0	0.86	1.32	0.69
10009	7.27	5.31	9.93	8.46	8.63
1001	23.16	24.93	9.37	8.30	7.32
10010	29.41	26.91	14.29	13.65	13.35
100101267	16.02	20.56	31.42	33.89	30.88
100101467	2.99	0.83	4.40	3.75	3.17
100101629	0	0	17.61	0	3.51
10011	15.03	4.88	17.19	18.67	17.55
100113407	1.06	0.25	1.35	2.42	2.52
100125288	0.70	0	1.17	2.05	2.15
100127983	1.70	4.30	4.47	5.32	3.90
100128071	3.61	0	2.49	6.76	2.55
100128108	0	2.00	2.85	2.97	3.07
100128242	0	0	4.82	3.39	4.87
100128327	0	0	0	0.76	0
100128553	0.50	17.37	1.94	0	1.85
100128569	1.66	0.89	4.82	6.61	4.80
100128731	117.04	31.85	180.19	140.52	150.31
100128908	0	0	0.13	0	0
100128927	5.94	0.15	3.61	5.45	3.95
100129083	0	0.17	0	0	0
100129216	0	1.96	0	0	0
100129250	8.45	4.73	3.79	5.45	7.27
100129271	300.41	340.90	0	0	0
100129307	0	0	0	0.29	0
100129361	1.91	0	8.25	5.46	5.42
100129396	0	0.93	0.38	0.37	0
100129480	0.99	0.52	0.32	0	0.82
100129484	1.57	0.10	0.50	1.38	1.29
100129520	0	0	0.21	0.25	0.44
100129543	0.15	0.46	1.26	1.72	0.90
100129583	0	0.22	0	0.51	0.28
100129654	0	0	0	0.33	0.35
100129697	0	0.35	0	0	0
100129792	0.81	0.54	0.40	0	0.18
100129836	0	0.36	0	0	0
100129842	1.14	2.38	1.62	0.80	1.94
100129924	0.52	0	0.49	0.12	0.63
100129940	0	0.28	0.33	0	0
10013	12.23	7.01	21.29	28.50	25.67
100130311	4.01	2.51	0.85	0.26	0.41
100130348	0	0.63	0	0	0
100130357	0	0.23	0	0.53	0.56
100130361	0	0	1.99	1.33	1.40
100130370	0	0	3.13	5.26	1.83
100130449	2.26	0	0	1.79	0.93
100130451	0.14	0	0	0.49	0.35
100130519	0	0	0.35	0.64	0.45
100130520	0.62	0	0	0	0
100130705	0.80	0	0.85	0.83	0.66
100130733	1.22	0.95	0.58	0.89	0.19
100130742	1.66	0	0	0.49	0
100130771	0	0	0	0.93	0.58
100130827	0	0	0.54	0.33	0
100130890	0.18	0.14	0	0.87	0.64
100130933	0	0	0	0.51	0
100130958	2.51	0	1.94	1.20	0
100130967	1.15	0.46	0	0.69	2.85
100131017	6.53	0.07	15.40	13.87	12.13
100131094	0.11	0.26	0.86	0.53	0.69
100131107	0.47	0.55	0	0	0.58
100131187	51.77	24.19	14.39	29.94	18.01
100131211	1.80	1.17	4.78	2.55	2.21
100131244	0	0	0.46	0.76	0.60
100131378	0.40	0.32	0	0.48	0
100131390	0	0	0.70	0.29	0.30
100131539	0.10	0.21	0	0	0
100131755	1.94	1.42	0.83	0.54	0.74
100131801	98.49	189.07	55.25	71.61	47.98
100131827	1.69	3.43	4.76	3.82	3.96
100131897	0.17	0.18	0.33	0.20	0.56
100131980	0	0.09	0	0	0
100132015	0	0	0.16	0	0
100132074	2.28	0.21	1.92	1.25	2.80
100132247	10.66	184.54	18.63	32.28	18.72
100132386	50.01	85.49	0	0	0
100132406	6.84	206.97	2.16	1.03	2.45
100132463	0	0.90	0	0	0
100132476	53.36	48.45	0	0	0
100132813	0.11	0	0	0	0
100132911	1.76	1.01	3.32	2.03	2.40
100132994	0	0	1.99	1.33	1.40
100133093	34.41	0	0	0	0
100133204	0.24	0	0.23	0.28	0.15
100133220	1.63	33.94	0	0	1.67
100133251	0	0	0.21	0	0
100133941	78.72	18.11	137.09	150.37	125.74
100134444	5.80	4.40	0	0	0
100134934	18.28	5.35	13.67	11.98	14.52
100134938	31.59	94.77	23.26	31.72	33.56
100137047	20.13	3.30	5.36	9.25	9.39
100137049	13.40	2.72	4.52	7.36	5.58
10014	30.95	12.98	15.25	16.97	14.80
100141515	0	0.26	0	0.39	0
100142659	3.42	10.93	0.68	1.69	0.35
100144595	0.15	0	0	0	0
100144748	0.32	0	0.46	0.38	0.40
10015	36.33	26.38	29.28	31.27	32.43
10016	45.00	33.78	122.89	141.12	132.63
10017	2.83	0.45	0	0	0
100170229	0	1.01	0.43	0.35	0.96
100170765	0	0	0.36	0	0
100170841	2.35	0	13.64	13.99	14.06
10018	4.24	0.62	10.32	10.12	11.17
100188893	64.27	15.37	97.60	113.42	111.55
10019	5.27	1.06	14.24	13.10	12.02
100191040	1.64	0	0	1.20	0.25
1002	0.05	0	1.08	1.51	1.39
10020	5.87	6.13	8.84	6.84	8.86
10021	0	0	0.09	0.38	0.23
10023	3.27	0	3.24	4.29	2.74
10024	5.84	1.83	30.85	43.05	29.01
10025	15.49	5.00	19.88	24.80	21.77
10026	4.39	4.13	8.20	8.06	6.02
100271715	0	0.06	0.08	0	0
100271849	1.76	0.07	3.68	8.61	2.41
100271927	5.49	21.13	4.28	7.76	3.57
100272147	10.95	1.09	15.72	9.78	13.24
100287036	0	0	0	0	0.91
100287045	0.25	3.63	0	0	0
100287171	83.57	206.95	82.87	97.77	77.26
100287226	0	0	0.59	0.31	0.33
100287238	0	0.49	0	0	0
100287482	0.34	0	1.29	1.19	2.49
100287513	0	0.52	0	0	0
100287896	1.39	0.87	1.46	0.54	4.50
100287932	31.27	43.32	48.42	48.37	65.07
100288142	1.31	28.45	1.50	0.85	1.71
100288332	19.60	201.20	34.67	29.66	30.82
100288413	0.84	0.56	0.44	0.42	0.28
100288520	0	2.33	0	0	0
100288687	0	2.98	1.18	0.48	1.26
100288695	1.06	0.75	0	0	0.72
100289187	0.68	0.71	1.96	1.34	3.08
100289561	7.26	11.19	19.76	16.51	17.12
100289635	2.10	1.15	2.78	3.60	3.05
100289678	3.63	2.27	9.03	10.00	10.33
100293516	2.50	3.77	2.94	2.40	2.27
100293534	0	0	8.90	9.86	5.53
1003	18.84	10.96	0.71	0.68	0.51
100302652	1.31	4.17	0	3.84	1.57
100302736	0	0.40	3.78	3.34	3.36
100303755	6.55	3.30	18.47	9.24	10.66
100310812	0	0	0	0.59	0.55
100310846	0	0.58	1.18	0.29	0.61
100316904	1.29	0	9.46	15.29	10.02
100329135	0	0	0	0.15	0.31
10036	8.47	6.96	24.18	24.24	23.10
10038	11.65	12.00	15.16	13.77	17.40
100381270	6.12	10.45	5.27	3.52	4.42
10039	5.92	3.14	12.09	12.49	9.40
1004	0.76	0.49	0.42	0.37	0.78
10040	17.28	21.37	13.67	11.94	14.10
10042	8.22	4.10	9.07	6.48	10.50
100423062	0.76	3.28	1156.95	1519.72	1285.84
10043	44.14	20.06	17.57	19.89	12.14
10044	5.57	1.90	3.76	4.45	1.67
10045	12.60	2.96	4.47	5.83	5.22
10046	0.91	1.68	5.82	5.89	3.63
100463289	0	0	0	0	0.23
10048	26.07	28.56	25.54	21.61	20.76
10049	89.21	86.00	76.80	68.12	68.58
100499483	1.11	1.61	0.83	1.19	0.84
1005	0	0	0.79	0.39	0.45
100505385	2.92	0	2.73	1.62	2.33
100505478	0	0.81	0	0	0
100505549	0.35	0	1.66	1.22	0.85
100505573	6.73	0	9.24	7.71	9.06
100505591	0.41	0	0	0	0
100505679	0	3.14	0	0	0
100505724	13.84	46.87	0	0	0
100505741	0	0.13	0	0	0
100505753	180.58	199.10	0	0	0
100505767	2.46	5.99	1.33	0	1.00
100505876	8.11	5.03	13.83	13.65	16.53
100505993	0	0	0.72	0	0.92
100506012	0	0.22	0	0.33	0
100506013	0.40	0	0.25	0	0.16
100506084	7.84	16.71	15.54	8.16	14.69
100506115	0.69	0	0.66	1.41	0.64
100506127	0.84	0.06	2.60	2.11	3.05
100506144	5.87	1.24	11.67	20.40	9.18
100506164	0.89	0.28	0.51	0.21	0.44
100506243	6.31	2.53	8.65	2.51	1.96
100506374	0.44	0	0	0	0
100506388	1.39	0.27	1.34	1.23	0
100506540	0.81	0	0	0.99	0
100506564	0	0	0	0.57	0.30
100506581	1.09	0.29	5.13	3.45	5.30
100506658	4.36	14.68	3.92	3.40	4.26
100506736	0	0.15	0	0	0
100506742	0	0.16	0	0	0
100506888	0	0.41	0	0	0
100507003	0	0	0.43	0	1.12
100507050	0.12	0	3.63	3.30	1.51
100507170	0	0.02	0.02	0	0.03
100507203	0	0.11	2.63	1.45	0.85
100507290	5.34	0.59	6.53	10.70	7.25
100507341	0	0.73	0	0	0
100507421	1.13	0.05	2.18	1.39	2.10
100507436	9.02	6.75	16.51	20.77	15.81
100507462	0	0	0.37	0.15	0.16
100507507	0.40	0	5.59	6.15	2.23
100507588	0.85	0	5.43	5.01	4.19
100507607	2.87	13.46	2.81	3.17	1.83
100507608	3.59	18.92	0	0	0
100507650	0	0	0.41	0	0
100507679	0.06	0	0	0	0
10051	9.22	9.05	41.10	33.56	38.11
10052	1.12	0.14	3.74	3.49	4.51
100526664	2.18	5.57	0	0	0
100526693	5.89	1.26	6.95	5.04	5.62
100526694	0.90	0.59	1.06	3.94	3.41
100526737	5.85	0.23	12.57	0	1.21
100526739	1.02	0	3.68	4.20	3.79
100526740	0	1.77	0	0	0
100526760	1.01	4.50	1.37	0	11.20
100526761	0	0	0	0.77	0.11
100526771	0	0	0.58	0	0
100526772	0	6.63	0	0	0.08
100526783	4.88	4.99	3.25	2.42	1.36
100526794	0	0	0	0.27	0
100526832	0.90	0	2.39	3.19	0
100526835	0.43	1.81	0	0	0
100526842	1.16	2.88	2.76	7.50	0
100527943	0	0.64	0	1.66	1.42
100527949	4.70	2.05	0.78	0.48	0.01
100527963	1.18	0	7.84	6.83	10.59
100527978	0	1.91	0	0.68	0.94
100528020	0	0.18	0.86	1.06	0.28
100528030	0.07	0	0.75	1.23	1.28
100528032	0.34	0	0	0.41	0
100528062	3.07	0	2.11	1.53	4.06
100528064	2.42	0	3.21	0	0
100529063	16.96	18.69	20.07	26.72	31.63
100529097	28.74	13.38	33.67	30.12	24.75
100529144	0	2.70	0	0	6.23
100529215	0.46	0	0	1.00	0
100529239	1.17	0	0	0	0
100529240	0.76	0.72	0.75	0.51	0.64
100529241	0	0	0	0	0.79
100529251	0	0	1.83	0.99	1.07
100529257	0	0.11	0	0	0
100529261	1.70	3.33	6.64	7.25	9.85
10053	30.74	12.47	14.70	12.58	17.90
100532726	4.24	0	2.93	5.72	12.17
100532731	2.96	0	0.98	10.50	2.86
100532736	0	0	0	1.86	3.49
100533105	0.02	0	3.93	0.79	1.17
100533106	2.43	0	1.28	3.03	2.74
100533177	30.49	19.92	0	0	0
100533181	0	0.64	0	0	0
100533183	0	0	0	0.50	0
100533467	0.92	6.03	4.17	3.09	2.46
100533496	3.81	1.41	1.67	2.87	3.62
100533952	0	0	0	0	1.64
100533997	0	0	0	0	0.46
100534012	0	0	0	0	3.82
100534599	9.22	0.87	9.66	10.68	13.03
10054	39.85	33.71	75.17	55.35	60.12
10055	29.77	12.46	88.19	77.47	71.38
10056	16.40	10.55	30.98	31.47	30.33
10057	6.70	5.95	9.86	10.47	10.11
10058	8.98	6.65	14.64	18.72	20.26
10059	14.90	15.41	24.30	20.39	21.64
1006	0.35	0.21	0.07	0.16	0.34
10060	4.98	9.21	5.60	3.36	5.78
10061	18.23	19.99	32.38	34.38	32.49
10062	6.01	2.19	9.69	10.72	8.71
10063	38.88	27.62	66.47	49.71	70.55
100631383	2.36	0.30	2.02	0	0
100652748	5.64	7.66	4.85	5.48	5.45
100652824	0.08	0	0	0	0
100653515	0	0.52	0	0	0
10066	46.72	12.74	44.24	53.93	44.84
10067	35.26	14.57	68.29	84.40	60.19
10068	2.40	0.97	3.89	9.38	4.95
10069	4.85	2.68	11.34	10.36	10.36
1007	0	0	0.11	0	0.28
10071	0	0.26	0.04	0.10	0.08
10072	12.17	5.79	28.47	27.90	24.68
10073	7.28	6.43	17.07	19.32	21.70
10075	21.16	58.65	33.69	31.52	38.97
10076	9.93	5.57	12.92	14.99	13.77
10077	0	0	0.25	1.21	1.59
10078	23.10	1.41	20.74	24.19	17.93
10079	11.22	8.82	14.36	14.00	13.72
1008	0	0	0.69	0.27	0
10081	9.07	4.68	18.76	24.58	21.10
10082	2.69	1.41	3.46	2.91	3.48
100820829	13.29	16.09	0	0.62	0
10083	0	0	0.61	1.28	2.93
10084	33.80	42.06	53.02	45.77	56.02
10085	3.24	4.08	1.10	0.76	0.27
10086	0	0	3.03	2.74	2.68
100861412	0	0	0	1.92	0
100862671	7.92	0.51	7.08	5.99	7.91
10087	8.63	8.06	8.40	5.72	8.60
100873985	0.40	1.27	1.16	0.95	0.99
100885848	0.55	0	0.73	0.54	3.04
100885850	0	0.52	0.54	1.87	1.15
10089	31.63	2.94	0.52	0	0.29
1009	7.14	7.79	1.10	1.52	1.12
10090	6.89	2.78	2.90	4.56	3.17
10092	50.74	11.72	80.82	71.78	66.54
10093	74.09	24.93	81.79	81.86	86.59
10094	123.05	263.26	196.24	164.39	201.14
10095	34.55	9.95	192.32	206.45	190.66
10096	31.62	27.85	40.31	37.45	38.14
10097	48.86	42.97	82.82	86.24	79.08
10098	16.94	5.33	7.62	8.52	7.85
10099	26.83	13.70	54.36	48.61	52.50
100996259	0.24	0	0	0	0
100996485	1.26	0	2.94	2.45	3.27
100996492	0.49	0	0.14	0.29	0
100996648	0	0	0	0.24	0
100996741	1.32	0.24	2.70	2.96	3.61
100996746	1.03	8.31	0	0.41	0.42
100996758	0.24	0.19	0.47	0	0
100996842	7.23	0	5.49	4.26	4.83
100996928	8.28	0	13.67	17.03	10.24
101	1.14	0.26	2.05	2.68	2.57
1010	1.12	0.43	0.35	0.22	0.46
10100	2.25	1.49	2.20	1.77	1.97
10101	38.83	5.58	60.44	60.65	54.01
10102	13.37	3.22	22.46	16.26	22.35
10103	1.72	1.34	1.64	3.02	1.85
10105	37.18	19.71	64.88	58.09	68.97
101059915	0	0	0	0	0.47
101059918	0	1.15	3.93	1.68	1.90
101059953	34.20	212.93	38.90	41.80	45.77
10106	56.26	16.73	40.95	43.93	47.97
101060200	0	0.70	0.29	0.53	1.67
101060211	0	0	0	0.63	1.21
101060226	10.44	142.45	4.36	3.27	5.61
101060233	0	0.44	0	0	0
101060351	0	0	0	1.46	0
101060376	14.61	51.86	7.84	15.65	15.99
101060389	0	0	3.23	0	0.68
101060684	0.44	5.91	4.68	4.57	4.48
10107	2.28	0.30	0.28	0.68	0.56
10109	208.15	131.99	158.70	165.19	145.36
10110	4.11	0.85	0.87	0.43	0.68
10111	8.62	13.73	12.13	7.92	12.37
10112	2.19	1.00	24.04	21.25	26.76
10113	22.70	10.61	57.32	59.79	61.25
10114	21.70	30.95	7.35	7.54	6.15
10116	18.15	8.76	14.68	12.85	13.73
1012	21.27	22.19	22.40	22.19	21.76
10120	26.54	12.35	37.22	37.93	40.99
10121	54.77	28.50	38.91	39.76	37.85
10123	36.22	4.83	16.88	18.21	16.13
10124	11.81	4.32	5.91	8.41	6.89
10125	2.45	3.26	1.16	1.98	1.50
10126	11.73	0.73	7.18	9.93	8.09
10127	14.33	3.16	15.32	11.72	15.03
10128	17.40	40.57	49.55	38.94	45.61
10129	4.01	7.43	0.82	0.85	0.98
1013	0	0	0.46	1.41	0.89
10130	58.33	41.88	244.18	218.47	228.67
10131	35.73	21.54	97.42	103.02	89.72
10133	35.27	51.33	17.20	15.87	17.06
10134	91.30	62.98	131.21	129.45	136.66
10135	25.68	53.47	46.04	43.11	46.61
10136	0	0	1.89	0.47	0
10137	10.85	8.47	21.98	22.28	20.84
10138	1.37	1.11	2.53	3.04	1.09
10139	11.81	8.15	15.83	20.31	13.27
1014	0	0	0	0	0.16
10140	124.78	66.21	37.24	41.76	34.49
101410538	36.50	0	21.14	26.42	17.40
10142	8.43	22.32	6.03	3.86	6.89
10144	7.47	4.60	3.65	3.47	4.39
10146	21.18	47.63	49.17	41.89	43.18
10147	9.32	7.47	33.18	30.95	29.60
10148	0	0	1.19	1.10	2.30
10149	0.36	0.22	0.61	0.51	0.18
10150	17.88	7.00	10.92	10.42	12.14
10152	8.73	1.78	15.27	13.90	15.69
10153	14.07	16.00	26.27	18.23	23.51
10154	3.49	3.77	6.63	5.12	5.32
10155	71.01	35.08	204.10	198.76	201.28
10156	11.07	13.94	7.66	7.88	9.06
10157	2.83	5.52	6.11	5.69	4.83
10158	23.53	18.98	0	0	0
10159	60.68	90.69	65.54	61.07	60.14
1016	0	0	0.14	0.60	0.80
10160	11.02	12.67	28.76	28.11	31.16
10161	12.87	10.30	6.59	5.34	4.59
10162	41.09	21.91	22.69	18.81	19.21
10163	56.37	27.19	37.76	40.71	39.53
10164	0	0	0.31	0.38	1.20
10165	7.99	22.64	21.77	21.29	21.21
10166	3.16	1.98	9.43	8.23	10.97
10168	2.79	1.98	4.79	2.79	4.56
10169	74.21	15.94	104.80	112.48	89.88
1017	18.01	8.23	74.26	78.04	71.39
10170	1.23	1.12	0.23	0.21	0.29
10171	10.26	6.04	10.74	10.28	12.98
10172	3.44	6.32	3.43	2.93	3.46
10174	53.92	18.13	39.75	46.98	36.44
10175	20.39	12.26	47.33	58.49	45.03
10178	0.19	0.41	0.78	0.86	0.78
10179	4.69	3.55	8.42	7.37	6.44
1018	7.12	1.22	6.38	10.19	5.75
10180	15.35	19.69	29.58	27.28	28.57
10181	28.01	25.17	34.60	30.01	32.66
10184	5.91	0.68	7.29	8.94	9.75
10186	21.28	5.22	4.42	5.24	7.08
10188	25.13	6.74	17.23	19.89	18.88
10189	35.69	16.46	95.03	88.47	77.37
1019	36.18	37.83	115.86	132.36	128.39
10190	17.67	9.74	17.54	17.57	17.02
101927322	0	0	0.63	0.41	1.56
101927423	1.26	0	1.62	0.65	0.78
101927572	0	0.87	0.53	1.30	0.67
101927655	0	0	0	0	1.25
101927685	0	0	0	0.48	0.77
101928120	2.08	0	1.47	1.92	2.84
101928147	0.37	0	0.36	0	0.92
101928527	2.11	0.30	13.62	12.79	14.21
101928601	0	0	0	0.16	0
101928841	0.07	0	0.31	0.51	0.49
101928991	1.61	0	0.67	1.53	1.70
101929726	3.52	0	0	0	0.54
10193	10.05	3.61	10.16	9.36	11.74
10194	9.21	2.65	5.93	7.36	6.98
10195	19.38	8.36	46.52	77.25	52.67
10196	7.81	6.86	12.76	10.34	11.41
10197	36.36	17.52	53.78	49.83	49.05
10198	1.04	2.85	6.40	4.48	6.10
10199	13.13	14.20	21.30	11.60	21.64
102	11.29	24.46	27.20	26.47	25.89
1020	8.24	7.46	12.97	23.59	22.86
10200	9.11	18.19	19.35	15.37	21.27
10201	4.56	0.35	7.61	7.23	6.72
10202	0.26	0	117.15	117.27	110.68
10203	2.23	1.85	0.33	0.13	0.28
10204	22.06	5.05	44.87	45.29	46.05
10205	30.64	24.63	8.35	10.91	8.35
10206	4.30	1.30	4.12	2.31	4.36
10207	8.18	12.68	3.39	2.83	3.16
